IndexID,CollectTime,РАБОТА НФ,РАБОТА Д11
1090,2021-09-29 11:54:20,449926,455806
1091,2021-09-29 17:22:11,450246,456126
1092,2021-09-29 19:17:02,450329,456209
1093,2021-10-08 09:03:31,450330,456211
1094,2021-10-19 14:24:54,450330,456211
1095,2021-10-19 18:06:00,450396,456281
1096,2021-10-20 08:15:47,450491,456378
1097,2021-10-20 17:38:30,451043,456932
1098,2021-10-21 08:24:34,451142,457030
1099,2021-10-22 06:35:12,451824,457714
1100,2021-10-22 20:42:51,451954,457844
1101,2021-10-23 06:12:27,452146,458038
1102,2021-10-24 06:17:23,453140,459038
1103,2021-10-24 16:12:17,453682,459582
1104,2021-10-24 16:31:48,453689,459586
1105,2021-10-24 17:11:34,453722,459617
1106,2021-10-24 17:16:14,453722,459617
1107,2021-10-24 23:07:41,453722,459618
1108,2021-10-25 06:11:19,453729,459627
1109,2021-10-25 16:13:36,454228,460128
1110,2021-10-25 17:40:32,454306,460208
1111,2021-10-25 18:11:39,454314,460217
1112,2021-10-25 21:28:45,454495,460400
1113,2021-10-26 06:12:07,454637,460545
1114,2021-10-27 06:18:04,455610,461521
1115,2021-10-28 06:52:27,456580,462491
1116,2021-10-28 11:42:31,456614,462524
1117,2021-10-29 06:03:54,457308,463218
1118,2021-10-29 07:19:37,457372,463283
1119,2021-10-29 10:57:03,457583,463495
1120,2021-10-29 15:12:16,457788,463701
1121,2021-10-30 06:22:47,458284,464198
1122,2021-10-30 12:14:49,458630,464545
1123,2021-10-30 17:19:55,458878,464794
1124,2021-10-30 20:45:53,459071,464987
1125,2021-10-31 06:03:36,459258,465174
1126,2021-10-31 20:12:43,459928,465845
1127,2021-11-01 06:12:09,460131,466051
1128,2021-11-01 21:25:25,460913,466835
1129,2021-11-02 06:06:10,461041,466965
1130,2021-11-02 06:21:12,461041,466965
1131,2021-11-02 06:59:05,461043,466968
1132,2021-11-02 13:23:09,461339,467265
1133,2021-11-03 06:10:09,461896,467823
1134,2021-11-04 06:13:33,462877,468808
1135,2021-11-04 12:33:51,463233,469166
1136,2021-11-05 06:08:34,463832,469769
1137,2021-11-05 16:22:10,464378,470315
1138,2021-11-06 06:34:52,464822,470761
1139,2021-11-06 06:44:57,464824,470761
1140,2021-11-06 21:07:57,465614,471553
1141,2021-11-07 06:10:49,465777,471716
1142,2021-11-08 06:05:51,466727,472669
1143,2021-11-09 06:23:15,467660,473603
1144,2021-11-09 10:16:09,467878,473821
1145,2021-11-09 16:08:40,467997,473942
1146,2021-11-10 06:07:34,468410,474357
1147,2021-11-10 08:12:10,468522,474469
1148,2021-11-10 13:11:39,468818,474765
1149,2021-11-11 06:06:27,469392,475339
1150,2021-11-11 17:38:40,469998,475945
1151,2021-11-11 20:26:59,470162,476109
1152,2021-11-12 06:27:19,470366,476315
1153,2021-11-12 19:13:36,471068,477012
1154,2021-11-12 23:48:51,471330,477273
1155,2021-11-13 06:14:19,471334,477276
1156,2021-11-13 23:51:54,472313,478260
1157,2021-11-14 06:15:51,472315,478262
1158,2021-11-15 06:07:15,472634,478582
1159,2021-11-15 06:18:20,472639,478588
1160,2021-11-15 09:48:13,472835,478784
1161,2021-11-15 13:14:02,473037,478986
1162,2021-11-16 06:25:30,473609,479561
1163,2021-11-16 13:16:33,474010,479962
1164,2021-11-17 06:15:47,474571,480524
1165,2021-11-17 22:21:11,475452,481404
1166,2021-11-18 06:12:04,475536,481490
1167,2021-11-19 06:17:38,476401,482349
1168,2021-11-20 06:11:59,477361,483312
1169,2021-11-21 06:45:23,478280,484234
1170,2021-11-21 10:18:35,478469,484424
1171,2021-11-22 06:33:20,479136,485097
1172,2021-11-22 12:58:07,479514,485475
1173,2021-11-23 06:27:36,480014,485982
1174,2021-11-24 06:24:35,480974,486938
1175,2021-11-24 06:29:10,480979,486942
1176,2021-11-24 15:26:36,481462,487426
1177,2021-11-24 22:54:23,481884,487851
1178,2021-11-25 06:25:34,481923,487892
1179,2021-11-26 05:56:35,482781,488755
1180,2021-11-27 06:19:03,483732,489710
1181,2021-11-27 09:13:22,483901,489879
1182,2021-11-27 13:28:03,484153,490131
1183,2021-11-28 06:07:56,484645,490620
1184,2021-11-28 08:54:25,484808,490780
1185,2021-11-28 08:56:48,484808,490781
1186,2021-11-29 06:09:46,485628,491607
1187,2021-11-29 22:55:29,486561,492541
1188,2021-11-29 22:58:11,486561,492541
1189,2021-11-29 23:03:08,486561,492542
1190,2021-11-30 06:12:33,486607,492590
1191,2021-11-30 15:35:02,487101,493086
1192,2021-11-30 17:00:51,487174,493159
1193,2021-11-30 22:09:53,487478,493463
1194,2021-12-01 06:06:50,487583,493568
1195,2021-12-02 06:06:43,488552,494541
1196,2021-12-03 06:42:36,489517,495510
1197,2021-12-03 08:14:47,489603,495595
1198,2021-12-03 13:24:12,489906,495898
1199,2021-12-04 06:27:38,490466,496462
1200,2021-12-05 08:23:23,491424,497424
1201,2021-12-06 06:26:14,492270,498274
1202,2021-12-06 15:27:08,492754,498759
1203,2021-12-07 06:42:12,493248,499256
1204,2021-12-08 06:06:36,494197,500209
1205,2021-12-09 06:45:17,495185,501201
1206,2021-12-09 07:45:16,495241,501256
1207,2021-12-09 11:33:50,495467,501482
1208,2021-12-10 06:14:01,496150,502170
1209,2021-12-10 18:18:49,496513,502530
1210,2021-12-11 06:25:20,496803,502823
1211,2021-12-11 15:23:00,497290,503310
1212,2021-12-11 17:35:41,497408,503428
1213,2021-12-11 23:11:55,497741,503761
1214,2021-12-12 06:16:51,497782,503802
1215,2021-12-12 17:12:23,498366,504387
1216,2021-12-13 06:10:03,498753,504774
1217,2021-12-14 06:35:46,499706,505731
1218,2021-12-15 06:12:32,500637,506667
1219,2021-12-15 10:22:12,500872,506899
1220,2021-12-15 13:16:32,501040,507068
1221,2021-12-16 06:11:15,501617,507650
1222,2021-12-16 07:14:00,501618,507650
1223,2021-12-16 14:42:10,501726,507752
