IndexID,CollectTime,I Д11,T Д11,I НФ,T НФ
1090,2021-09-11 13:44:21,95,1.5,58,8
1091,2021-09-12 08:09:42,95,1.5,58,8
1092,2021-09-13 08:32:06,95,1.5,58,8
1093,2021-09-14 08:31:44,95,1.5,58,8
1094,2021-09-14 17:28:25,95,1.5,58,8
1095,2021-09-15 08:15:02,95,1.5,58,8
1096,2021-09-15 14:45:02,95,1.5,58,8
1097,2021-09-16 08:48:36,95,1.5,58,8
1098,2021-09-17 08:35:39,95,1.5,58,8
1099,2021-09-18 08:23:59,95,1.5,58,8
1100,2021-09-19 08:11:21,95,1.5,58,8
1101,2021-09-20 08:11:13,95,1.5,58,8
1102,2021-09-21 08:08:15,95,1.5,58,8
1103,2021-09-22 08:34:12,95,1.5,58,8
1104,2021-09-22 15:20:30,95,1.5,58,8
1105,2021-09-23 08:15:38,95,1.5,58,8
1106,2021-09-24 08:14:48,95,1.5,58,8
1107,2021-09-25 08:19:27,95,1.5,58,8
1108,2021-09-26 08:19:37,95,1.5,58,8
1109,2021-09-26 15:09:52,95,1.5,58,8
1110,2021-09-27 08:48:22,95,1.5,58,8
1111,2021-09-28 08:12:46,95,1.5,58,8
1112,2021-09-29 08:01:15,95,1.5,58,8
1113,2021-09-29 11:54:20,95,1.5,58,8
1114,2021-09-29 17:22:11,95,1.5,58,8
1115,2021-09-29 19:17:02,95,1.5,58,8
1116,2021-10-08 09:03:31,95,1.5,58,8
1117,2021-10-19 14:24:54,95,1.5,58,8
1118,2021-10-19 18:06:00,95,1.5,58,8
1119,2021-10-20 08:15:47,95,1.5,58,8
1120,2021-10-20 17:38:30,95,1.5,58,8
1121,2021-10-21 08:24:34,95,1.5,58,8
1122,2021-10-22 06:35:12,95,1.5,58,8
1123,2021-10-22 20:42:51,95,1.5,58,8
1124,2021-10-23 06:12:27,95,1.5,58,8
1125,2021-10-24 06:17:23,95,1.5,58,8
1126,2021-10-24 16:12:17,95,1.5,58,8
1127,2021-10-24 16:31:48,95,1.5,58,8
1128,2021-10-24 17:11:34,95,1.5,58,8
1129,2021-10-24 17:16:14,95,1.5,58,8
1130,2021-10-24 23:07:41,95,1.5,58,8
1131,2021-10-25 06:11:19,95,1.5,58,8
1132,2021-10-25 16:13:36,95,1.5,58,8
1133,2021-10-25 17:40:32,95,1.5,58,8
1134,2021-10-25 18:11:39,95,1.5,58,8
1135,2021-10-25 21:28:45,95,1.5,58,8
1136,2021-10-26 06:12:07,95,1.5,58,8
1137,2021-10-27 06:18:04,95,1.5,58,8
1138,2021-10-28 06:52:27,95,1.5,58,8
1139,2021-10-28 11:42:31,95,1.5,58,8
1140,2021-10-29 06:03:54,95,1.5,58,8
1141,2021-10-29 07:19:37,95,1.5,58,8
1142,2021-10-29 10:57:03,95,1.5,58,8
1143,2021-10-29 15:12:16,95,1.5,58,8
1144,2021-10-30 06:22:47,95,1.5,58,8
1145,2021-10-30 12:14:49,95,1.5,58,8
1146,2021-10-30 17:19:55,95,1.5,58,8
1147,2021-10-30 20:45:53,95,1.5,58,8
1148,2021-10-31 06:03:36,95,1.5,58,8
1149,2021-10-31 20:12:43,95,1.5,58,8
1150,2021-11-01 06:12:09,95,1.5,58,8
1151,2021-11-01 21:25:25,95,1.5,58,8
1152,2021-11-02 06:06:10,95,1.5,58,8
1153,2021-11-02 06:21:12,95,1.5,58,8
1154,2021-11-02 06:59:05,95,1.5,58,8
1155,2021-11-02 13:23:09,95,1.5,58,8
1156,2021-11-03 06:10:09,95,1.5,58,8
1157,2021-11-04 06:13:33,95,1.5,58,8
1158,2021-11-04 12:33:51,95,1.5,58,8
1159,2021-11-05 06:08:34,95,1.5,58,8
1160,2021-11-05 16:22:10,95,1.5,58,8
1161,2021-11-06 06:44:57,95,1.5,58,8
1162,2021-11-06 21:07:57,95,1.5,58,8
1163,2021-11-07 06:10:49,95,1.5,58,8
1164,2021-11-08 06:05:51,95,1.5,58,8
1165,2021-11-09 06:23:15,95,1.5,58,8
1166,2021-11-09 10:16:09,95,1.5,58,8
1167,2021-11-09 16:08:40,95,1.5,58,8
1168,2021-11-10 06:07:34,95,1.5,58,8
1169,2021-11-10 08:12:10,95,1.5,58,8
1170,2021-11-10 13:11:39,95,1.5,58,8
