ID,GroupID,OccurrenceTime,AlarmTextID,CurValue,ResetTime,VariableValue,Operator,Conditions
72024,2,2021-08-12 20:43:05,30,Off,2021-08-12 20:47:56,,,Off
72025,2,2021-08-12 20:47:56,29,On,2021-08-12 20:47:59,,,On
72026,0,2021-08-12 20:47:59,0,On,2021-08-12 20:48:00,,,On
72027,2,2021-08-12 20:47:59,30,Off,2021-08-12 21:13:41,,,Off
72028,1,2021-08-12 20:47:59,4,Off,2021-08-12 21:10:33,,,Off
72029,2,2021-08-12 20:47:59,9,Off,2021-08-12 21:10:33,,,Off
72030,2,2021-08-12 20:57:58,39,On,2021-08-12 21:10:33,,,On
72031,1,2021-08-12 21:09:49,5,On,2021-08-12 23:20:08,,,On
72032,1,2021-08-12 21:10:33,3,On,2021-08-12 23:20:08,,,On
72033,2,2021-08-12 21:10:33,8,On,2021-08-12 23:08:08,,,On
72034,2,2021-08-12 21:10:41,35,On,2021-08-12 23:18:07,,,On
72035,2,2021-08-12 21:13:41,29,On,2021-08-12 21:19:32,,,On
72036,2,2021-08-12 21:19:32,30,Off,2021-08-12 21:21:53,,,Off
72037,2,2021-08-12 21:19:32,27,On,2021-08-12 21:19:42,,,On
72038,2,2021-08-12 21:21:53,29,On,2021-08-12 22:34:42,,,On
72039,2,2021-08-12 22:34:42,30,Off,2021-08-12 22:37:03,,,Off
72040,2,2021-08-12 22:34:42,27,On,2021-08-12 22:34:43,,,On
72041,2,2021-08-12 22:34:55,27,On,2021-08-12 22:35:14,,,On
72042,2,2021-08-12 22:37:03,29,On,2021-08-12 22:50:47,,,On
72043,2,2021-08-12 22:50:47,27,On,2021-08-12 22:50:52,,,On
72044,2,2021-08-12 22:50:47,30,Off,2021-08-12 22:53:09,,,Off
72045,2,2021-08-12 22:53:09,29,On,2021-08-12 23:08:08,,,On
72046,1,2021-08-12 23:08:08,36,Off,2021-08-12 23:08:08,,,Off
72047,1,2021-08-12 23:08:08,38,On,2021-08-12 23:20:08,,,On
72048,2,2021-08-12 23:08:08,30,Off,,,,Off
72049,2,2021-08-12 23:08:08,9,Off,,,,Off
72050,2,2021-08-12 23:18:07,39,On,,,,On
72051,1,2021-08-12 23:20:08,4,Off,,,,Off
72052,1,2021-08-13 05:36:00,1,On,2021-08-13 05:36:25,,,On
72053,1,2021-08-13 05:36:00,4,Off,2021-08-13 06:17:05,,,Off
72054,2,2021-08-13 05:36:00,7,Off,,,,Off
72055,2,2021-08-13 05:36:00,9,Off,2021-08-13 06:17:06,,,Off
72056,2,2021-08-13 05:36:00,30,Off,2021-08-13 06:20:14,,,Off
72057,1,2021-08-13 05:36:25,2,Off,2021-08-13 05:36:46,,,Off
72058,1,2021-08-13 05:36:46,1,On,2021-08-13 14:57:15,,,On
72059,2,2021-08-13 05:46:46,39,On,2021-08-13 06:17:06,,,On
72060,1,2021-08-13 06:16:22,5,On,2021-08-13 11:18:08,,,On
72061,1,2021-08-13 06:17:05,3,On,2021-08-13 11:18:08,,,On
72062,2,2021-08-13 06:17:06,8,On,2021-08-13 11:15:32,,,On
72063,2,2021-08-13 06:17:14,35,On,2021-08-13 11:18:08,,,On
72064,2,2021-08-13 06:20:14,29,On,2021-08-13 08:16:53,,,On
72065,2,2021-08-13 08:16:53,30,Off,2021-08-13 08:21:53,,,Off
72066,2,2021-08-13 08:21:53,29,On,2021-08-13 08:24:53,,,On
72067,2,2021-08-13 08:24:53,30,Off,2021-08-13 08:27:14,,,Off
72068,2,2021-08-13 08:24:53,27,On,2021-08-13 08:24:59,,,On
72069,2,2021-08-13 08:27:14,29,On,2021-08-13 08:47:01,,,On
72070,2,2021-08-13 08:47:01,30,Off,2021-08-13 08:49:23,,,Off
72071,2,2021-08-13 08:47:02,27,On,2021-08-13 08:47:10,,,On
72072,2,2021-08-13 08:47:18,27,On,2021-08-13 08:47:35,,,On
72073,2,2021-08-13 08:47:49,27,On,2021-08-13 08:47:51,,,On
72074,2,2021-08-13 08:49:23,29,On,2021-08-13 09:11:31,,,On
72075,2,2021-08-13 09:11:31,27,On,2021-08-13 09:11:45,,,On
72076,2,2021-08-13 09:11:31,30,Off,2021-08-13 09:13:52,,,Off
72077,2,2021-08-13 09:11:52,27,On,2021-08-13 09:12:06,,,On
72078,2,2021-08-13 09:12:14,27,On,2021-08-13 09:12:16,,,On
72079,2,2021-08-13 09:13:52,29,On,2021-08-13 09:22:09,,,On
72080,2,2021-08-13 09:22:09,27,On,2021-08-13 09:22:11,,,On
72081,2,2021-08-13 09:22:09,30,Off,2021-08-13 09:24:31,,,Off
72082,2,2021-08-13 09:22:21,27,On,2021-08-13 09:22:26,,,On
72083,2,2021-08-13 09:24:31,29,On,2021-08-13 09:30:25,,,On
72084,2,2021-08-13 09:30:25,30,Off,2021-08-13 09:32:47,,,Off
72085,2,2021-08-13 09:30:25,27,On,2021-08-13 09:30:26,,,On
72086,2,2021-08-13 09:32:47,29,On,2021-08-13 10:21:54,,,On
72087,2,2021-08-13 10:21:54,30,Off,2021-08-13 10:26:54,,,Off
72088,2,2021-08-13 10:26:54,29,On,2021-08-13 11:15:32,,,On
72089,1,2021-08-13 11:15:32,38,On,2021-08-13 11:27:31,,,On
72090,2,2021-08-13 11:15:32,9,Off,2021-08-13 12:34:27,,,Off
72091,2,2021-08-13 11:15:32,30,Off,2021-08-13 12:37:35,,,Off
72092,1,2021-08-13 11:18:08,4,Off,2021-08-13 12:34:27,,,Off
